                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2491,                 2.3906,                 1.3249,                0.64953,                0.59885,                0.70549,                0.53867,                  1.034,                 1.2073,                 1.0997,             0.00023744,             0.00023744,             0.00023744
                      2,                 1.1889,                 1.6541,                 1.2688,                0.63918,                0.66629,                0.64748,                0.48936,                0.99832,                0.88937,                 1.0739,             0.00046603,             0.00046603,             0.00046603
                      3,                 1.1771,                 1.5132,                 1.2692,                 0.5683,                0.56735,                0.63416,                0.49792,                0.98547,                0.75158,                 1.0432,             0.00068519,             0.00068519,             0.00068519
                      4,                 1.1614,                 1.3693,                 1.2607,                0.93418,                0.53199,                0.63767,                0.48833,                0.98661,                0.70242,                 1.0137,             0.00067159,             0.00067159,             0.00067159
                      5,                 1.1198,                 1.2459,                 1.2342,                0.93577,                0.56444,                0.63916,                0.49742,                0.94474,                0.67149,                 1.0107,             0.00067159,             0.00067159,             0.00067159
                      6,                 1.0967,                 1.1652,                 1.2161,                0.47225,                0.80818,                0.69045,                 0.5585,                0.91163,                0.71728,                 1.0139,             0.00065745,             0.00065745,             0.00065745
                      7,                 1.0729,                 1.0916,                 1.2039,                0.60692,                0.77953,                0.72074,                0.60178,                0.85758,                0.55749,                0.98164,             0.00064331,             0.00064331,             0.00064331
                      8,                 1.0567,                 1.0545,                 1.1951,                 0.9609,                0.55643,                0.61625,                0.51211,                0.83903,                0.56643,                0.97011,             0.00062918,             0.00062918,             0.00062918
                      9,                 1.0315,                 1.0051,                 1.1797,                0.96217,                0.54225,                0.62126,                0.50817,                0.82364,                0.60287,                0.98211,             0.00061504,             0.00061504,             0.00061504
                     10,                 1.0222,                0.97775,                 1.1752,                0.69167,                0.61487,                0.67596,                0.57273,                0.79769,                0.51295,                0.95401,              0.0006009,              0.0006009,              0.0006009
                     11,                  1.002,                0.93799,                 1.1674,                0.94659,                 0.6125,                0.65679,                0.54156,                0.79509,                0.54042,                0.96877,             0.00058677,             0.00058677,             0.00058677
                     12,                0.98391,                0.91679,                  1.152,                  0.711,                0.61301,                0.67362,                0.57851,                0.73711,                0.50956,                0.95431,             0.00057263,             0.00057263,             0.00057263
                     13,                0.97733,                 0.8923,                 1.1462,                0.95234,                 0.5977,                0.66024,                0.56362,                0.75217,                 0.5068,                0.95114,             0.00055849,             0.00055849,             0.00055849
                     14,                 0.9763,                0.87189,                 1.1484,                0.82356,                0.74119,                0.76416,                0.66141,                0.73315,                0.47414,                0.94027,             0.00054435,             0.00054435,             0.00054435
                     15,                0.95905,                0.85627,                 1.1391,                0.96241,                0.61027,                 0.7438,                0.65314,                0.70079,                0.47488,                0.92863,             0.00053022,             0.00053022,             0.00053022
